[22.03.2016 | 16:21:55] Talorin.Goldberry: Jemand ne Ahnung wo die vinetwork Base ist? Chat per /ooc [Text]
[09.04.2016 | 19:58:14] Jonas.Williams: hiiiiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hi
[09.04.2016 | 19:58:15] Jonas.Williams: hii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hi
[09.04.2016 | 19:58:15] Jonas.Williams: hii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hi
[09.04.2016 | 19:58:15] Jonas.Williams: hii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:15] Jonas.Williams: hiiiiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hi
[09.04.2016 | 19:58:23] Jonas.Williams: hii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hi
[09.04.2016 | 19:58:23] Jonas.Williams: hii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hi
[09.04.2016 | 19:58:23] Jonas.Williams: hii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hi
[09.04.2016 | 19:58:23] Jonas.Williams: hii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hi
[09.04.2016 | 19:58:23] Jonas.Williams: hii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hi
[09.04.2016 | 19:58:23] Jonas.Williams: hii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:23] Jonas.Williams: hiiiiiiiiiiiiiiiiiiiiiii
[09.04.2016 | 19:58:35] Jay.Mcmillen: geh dich erhängen
[09.04.2016 | 19:58:38] Jonas.Williams: Nein :D
[09.04.2016 | 19:58:47] Ryan.McMillen: ban incoming
[09.04.2016 | 19:58:48] Jonas.Williams: Geh du dich doch erhängen.
[09.04.2016 | 19:58:52] Jay.Mcmillen: ich schenke dir den Strick
[09.04.2016 | 19:59:04] Jonas.Williams: Bann? Ist eh n kak server.
[09.04.2016 | 19:59:19] Ryan.McMillen: dann geh
[09.04.2016 | 19:59:39] Jonas.Williams: Oha .
[09.04.2016 | 19:59:59] Jonas.Williams: Guck dir das Schwule Tab an richtig bunt usw richtig scheiß0e
[09.04.2016 | 20:00:04] Jay.Mcmillen: nichts oha VERPISS DICH
[09.04.2016 | 20:00:18] Ryan.McMillen: Uns allen gefällts, also geh ;)
[09.04.2016 | 20:00:22] Jonas.Williams: Alles kla werde ich tuene
[09.04.2016 | 20:00:32] Jay.Mcmillen: nimm dein Fiat und verpiss dich
[09.04.2016 | 20:00:35] Jonas.Williams: Naja da bekommt mann augenkrebs
[09.04.2016 | 20:00:52] Ryan.McMillen: dann viel spaß mit augenkrebs und geh
[09.04.2016 | 20:01:01] Jay.Mcmillen: vvenn du einen Spiegel hast dann ahst du schon Augenkrebs
[09.04.2016 | 20:01:11] Jonas.Williams: Neeiin..
[09.04.2016 | 20:01:14] Jonas.Williams: eher bei dir.
[09.04.2016 | 20:01:18] Ryan.McMillen: geh einfach du kleinkind
[09.04.2016 | 20:01:24] Jay.Mcmillen: Bitte ...
[09.04.2016 | 20:13:47] Marcel.Gamer: mr jackson komm sofort ts!!!!
[09.04.2016 | 20:14:37] Mr.Jacksons: was gibts?
[09.04.2016 | 20:14:51] Marcel.Gamer: nicht fragen kommen
[09.04.2016 | 20:15:27] Mr.Pedo: Prince?
[09.04.2016 | 20:16:17] Prince.Boateng: ja ?
[09.04.2016 | 20:16:25] Mr.Pedo: Komma Base
[09.04.2016 | 20:16:39] Prince.Boateng: wang cars ?
[09.04.2016 | 20:16:42] Mr.Pedo: Ja
[09.04.2016 | 20:16:51] Prince.Boateng: bin in lv mit roller
[09.04.2016 | 20:16:58] Mr.Pedo: wo?
[09.04.2016 | 20:17:42] Prince.Boateng: vor der Af base
[09.04.2016 | 20:17:47] Mr.Pedo: Ok mom
[09.04.2016 | 21:06:29] Max.Rundhose: na
[09.04.2016 | 21:06:34] Ryan.McMillen: Na
[09.04.2016 | 23:24:43] Sebastian.Layer: Bin in AutoFix eingeschlossen :(
[09.04.2016 | 23:25:02] Arkadiuz.Krychowiak: ihr seit hier admins? :)
[09.04.2016 | 23:25:07] Mr.Pedo: Ich bin Nil Minuten im Knast -.-
[09.04.2016 | 23:25:08] Arkadiuz.Krychowiak: hab ne menge fehler gesehen
[09.04.2016 | 23:25:37] Jay.Mcmillen: z.B ?
[09.04.2016 | 23:25:40] Mr.Pedo: Talorin.Goldberry?
[09.04.2016 | 23:25:53] Arkadiuz.Krychowiak: Bei der registration. Ich bin neu ier
[09.04.2016 | 23:26:09] Arkadiuz.Krychowiak: da steht noch wenn du da mit der maus rüber fährs vita
[09.04.2016 | 23:27:04] Arkadiuz.Krychowiak: und ihr habt Lizens probleme :P Habt Sebi beim script nicht angegeben
[09.04.2016 | 23:27:33] Mr.Pedo: Talorin.Goldberry
[09.04.2016 | 23:27:35] Mr.Pedo: Talorin.Goldberry
[09.04.2016 | 23:27:42] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:27:44] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:01] Jay.Mcmillen: Arkadiuz.Krychowiak melde dich da an besten an MatzeGaming.TV oder ka wie der ingame heißt
[09.04.2016 | 23:28:31] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:32] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:33] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:33] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:34] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:34] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:34] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:35] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:35] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:35] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:35] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:36] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:36] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:36] Mr.Pedo: Tolorin.Goldberry
[09.04.2016 | 23:28:38] Jay.Mcmillen: vvas brauchst du den Mr.Pedo
[09.04.2016 | 23:28:40] Mr.Pedo: Needhelp
[09.04.2016 | 23:28:41] Ryan.McMillen: halt dein maul
[09.04.2016 | 23:28:46] Arkadiuz.Krychowiak: kannst du mich abholen? beim casino bite :D will net den ooc spammen
[09.04.2016 | 23:28:46] Mr.Pedo: bin Nil Minuten Knast
[09.04.2016 | 23:29:34] Mr.Pedo: Talorin.Goldberry?
[09.04.2016 | 23:29:41] Talorin.Goldberry: Einen Moment ich komme
[09.04.2016 | 23:29:46] Mr.Pedo: Danke.
[09.04.2016 | 23:31:51] Sebastian.Layer: Fuehrerschein :(
[09.04.2016 | 23:32:55] Sebastian.Layer: Talorin kannst du das machen ?
[09.04.2016 | 23:35:13] Arkadiuz.Krychowiak: euer autohaus hat zuviele fahrzeuge... da lädt die hälfte nicht
[09.04.2016 | 23:35:34] Ryan.McMillen: find ich auch
[09.04.2016 | 23:36:28] Arkadiuz.Krychowiak: kannnst du mir nen Führerschein geben?
[09.04.2016 | 23:36:41] Sebastian.Layer: Hallo Talorin Brauche Führerschein bitte
[09.04.2016 | 23:36:57] Talorin.Goldberry: Da musst du dich an einen Fahrlehrer wenden
[09.04.2016 | 23:37:23] Arkadiuz.Krychowiak: du bist doch polizist
[09.04.2016 | 23:39:35] Arkadiuz.Krychowiak: wie sieht das aus mit frkation? :P
[09.04.2016 | 23:40:28] Sebastian.Layer: Kann ich bei InterTrans anfangen ?
[09.04.2016 | 23:40:50] Ryan.McMillen: hast du teamspeak?
[09.04.2016 | 23:41:02] Jay.Mcmillen: +Mikro
[09.04.2016 | 23:41:19] Sebastian.Layer: Ja, aber noch Kaputt werde morgen ein holen
[09.04.2016 | 23:41:39] Talorin.Goldberry: Morgen ist sonntag :P
[09.04.2016 | 23:41:40] Sebastian.Layer: Montag
[09.04.2016 | 23:41:55] Mr.Pedo: Talorin.Goldberry knaste mich ma aus
[09.04.2016 | 23:42:00] Arkadiuz.Krychowiak: darf ich in die fahrschule? :D
[09.04.2016 | 23:42:01] Mr.Pedo: Ich sitze immernoch Nil Minuten
[09.04.2016 | 23:42:04] Sebastian.Layer: Sry :D
[09.04.2016 | 23:42:13] Ryan.McMillen: wie alt bist du?:P
[09.04.2016 | 23:42:19] Arkadiuz.Krychowiak: 21
[09.04.2016 | 23:42:22] Sebastian.Layer: 16
[09.04.2016 | 23:42:44] Sebastian.Layer: Dürfte ich jetzt anfangen ?
[09.04.2016 | 23:43:06] Ryan.McMillen: Machen noch n Auftrag und dann komm ich mal
[09.04.2016 | 23:43:19] Sebastian.Layer: Alles Klar :)
[09.04.2016 | 23:47:01] Sebastian.Layer: Wie viel Geld habt ihr alle ?
[09.04.2016 | 23:47:09] Ryan.McMillen: ca 13k^
[09.04.2016 | 23:47:20] Sebastian.Layer: Okay
[09.04.2016 | 23:48:27] Talorin.Goldberry: Bar hab ich 50k
[09.04.2016 | 23:48:58] Sebastian.Layer: Und Konto ? :D
[09.04.2016 | 23:49:04] Talorin.Goldberry: 277k
[09.04.2016 | 23:49:24] Sebastian.Layer: Okay und das inerhalb von 2 Tagen ?
[09.04.2016 | 23:49:26] Ryan.McMillen: juuuch
[09.04.2016 | 23:49:53] Talorin.Goldberry: Den Server gibts ja schon länger. Ist nur seit gestern offen. Vorher passworded
[09.04.2016 | 23:50:00] Ryan.McMillen: genau^^
[09.04.2016 | 23:50:19] Ryan.McMillen: Sebastian wo bist?
[09.04.2016 | 23:50:43] Sebastian.Layer: Ares
[09.04.2016 | 23:51:13] Ryan.McMillen: Komm vor ares ^^
[09.04.2016 | 23:51:26] Talorin.Goldberry: Die Polizisten kriegen morgen ersmal alle einen Anpfiff...
[09.04.2016 | 23:58:30] Talorin.Goldberry: MELDUNG: Ein Baum ist in Palisades (San Fierro) umgefallen und blockiert die Straße. Die Feuerwehr kümmert sich darum
[10.04.2016 | 00:45:09] Sebastian.Layer: Marcel ?
[10.04.2016 | 00:45:16] Marcel.Gamer: ja ?
[10.04.2016 | 00:45:29] Sebastian.Layer: Sucht eine Fraktion ein Leader ?
[10.04.2016 | 00:46:07] Marcel.Gamer: warte ich denke mal nach
[10.04.2016 | 00:46:20] Sebastian.Layer: ?
[10.04.2016 | 00:46:31] Marcel.Gamer: ja san news
[10.04.2016 | 00:47:01] Sebastian.Layer: Muss ich eine Bewerbung schreiben ?
[10.04.2016 | 00:47:26] Marcel.Gamer: ne musst aber ts haben
[10.04.2016 | 00:47:43] Sebastian.Layer: bin im Ts
[10.04.2016 | 02:11:01] Marcel.Gamer: Intertrans autohaus ares braucht neue fahrzeuge
[10.04.2016 | 02:11:32] Jay.Mcmillen: bestell doch welche
[10.04.2016 | 02:11:44] Marcel.Gamer: stehen keine mehr unten ´?
[10.04.2016 | 02:12:19] Jay.Mcmillen: also wir haben keine Autos zum ausliefern mehr
[10.04.2016 | 02:12:40] Marcel.Gamer: dann muss ich matze bescheid sagen :D
[10.04.2016 | 02:12:51] Jay.Mcmillen: :DD
[10.04.2016 | 02:13:09] Jay.Mcmillen: naja eig waren ja 20 Autos da xD aber naja XD
[10.04.2016 | 02:13:22] Ryan.McMillen: Haben wir schon erledigt
[10.04.2016 | 06:57:52] Florian.Mrpacman: hallo ?
[10.04.2016 | 07:00:19] Florian.Mrpacman: mit /ooc TEXT kannst du schreiben
[10.04.2016 | 07:09:16] Florian.Mrpacman: hello ?
[10.04.2016 | 07:11:06] Florian.Mrpacman: you van whit /ooc Text whit me
[10.04.2016 | 07:11:17] Florian.Mrpacman: can *
[10.04.2016 | 12:06:32] Sebastian.Layer: Morgen Jungs :D
[10.04.2016 | 12:06:48] Jay.Mcmillen: morgen
[10.04.2016 | 12:06:50] Marcel.Gamer: layer ich gebe dir mal das geld für dein unternehmen und guten morgen
[10.04.2016 | 12:06:52] Ben.Akaisda: moin
[10.04.2016 | 12:07:08] Sebastian.Layer: Alles klar Sehr Nett danke
[10.04.2016 | 12:08:01] Marcel.Gamer: komm zum ares
[10.04.2016 | 12:08:12] Sebastian.Layer: Okay
[10.04.2016 | 12:10:36] Sebastian.Layer: Brauche gleich mal AF
[10.04.2016 | 12:18:19] Sebastian.Layer: Und dennis ? geht wieder
[10.04.2016 | 12:19:30] Sebastian.Layer: der ist immer noch Tot Marcel
[10.04.2016 | 12:19:34] Georg.Dampfnudel: Marcel
[10.04.2016 | 12:20:01] Georg.Dampfnudel: Könntest du mich mal wiederbeleben habe einen Bug ?
[10.04.2016 | 12:20:17] Sebastian.Layer: Hat Dennis auch
[10.04.2016 | 12:20:38] Marcel.Gamer: warte ich gehe in dienst
[10.04.2016 | 12:22:09] Georg.Dampfnudel: Guter Dienst :D
[10.04.2016 | 12:22:17] Ben.Akaisda: Dampfnudel bitte einmal umbringen
[10.04.2016 | 12:22:25] Georg.Dampfnudel: Es geht nicht
[10.04.2016 | 12:22:49] Sebastian.Layer: Ben ?
[10.04.2016 | 12:23:16] Sebastian.Layer: Wollte mir ein Reporter wagen hollen aber der steht bei 241515151 Vero
[10.04.2016 | 12:24:03] Georg.Dampfnudel: Ben geh mal bitte als Rescue rein und Wiederbelebe mich da steht die ganze Zeit Schwer
[10.04.2016 | 12:24:07] Georg.Dampfnudel: Verletzt
[10.04.2016 | 12:25:08] Ben.Akaisda: kann nicht
[10.04.2016 | 12:25:10] Georg.Dampfnudel: Marcel wiederbelebst du mich ?
[10.04.2016 | 12:35:13] Talorin.Goldberry: Bin schon wieder tot...
[10.04.2016 | 12:35:31] Marcel.Gamer: ja deswegen und man kann nixm achen
[10.04.2016 | 12:35:38] Marcel.Gamer: machen
[10.04.2016 | 12:35:48] Talorin.Goldberry: Der letzte Scheis ist das
[10.04.2016 | 12:36:17] Marcel.Gamer: ja das ist seit gestern abend
[10.04.2016 | 12:36:30] Talorin.Goldberry: Ja bei mir auch...
[10.04.2016 | 12:36:50] Marcel.Gamer: und matze ist ja net da oder on
[10.04.2016 | 12:37:18] Talorin.Goldberry: Ich versuch mich nochmal zu töten. Vllt. geht das
[10.04.2016 | 12:37:32] Georg.Dampfnudel: Talorin du hast ja Datenbank Rechte oder ?
[10.04.2016 | 12:37:51] Talorin.Goldberry: Hab die Daten nicht für DB
[10.04.2016 | 12:38:02] Talorin.Goldberry: SOnst hätte ich gewusst wie
[10.04.2016 | 12:38:49] Marcel.Gamer: maxi ich sag mal matze das er dir mal die daten geben soll
[10.04.2016 | 12:39:53] Marcel.Gamer: maxi stelel dich mal zu ben
[10.04.2016 | 12:40:38] Marcel.Gamer: maxi stehste bei ben ?
[10.04.2016 | 12:42:06] Talorin.Goldberry: Ich mach mal nen Restart
[10.04.2016 | 12:48:22] Sebastian.Layer: Ron :D
[10.04.2016 | 12:48:22] Ron.Noname: Hi :)
[10.04.2016 | 12:48:27] Marcel.Gamer: bitte versucht nicht zu sterben
[10.04.2016 | 12:48:28] Florian.Mrpacman: danke marcel
[10.04.2016 | 12:49:00] Georg.Dampfnudel: Ron weißt du wer den Cheetah genommen hat ?
[10.04.2016 | 12:49:19] Ron.Noname: Ich hatte selber noch keinen, und nein wieso?...
[10.04.2016 | 12:49:34] Sebastian.Layer: mach doch /autosanzeigen
[10.04.2016 | 12:50:16] Sebastian.Layer: Ron holl dir mal ein Handy
[10.04.2016 | 12:50:43] Ron.Noname: oke Sebastian, und Georg Bekomme ich ein Schlüssel für ein PD auto?
[10.04.2016 | 12:50:51] Georg.Dampfnudel: ja
[10.04.2016 | 12:51:00] Ron.Noname: Also für Police Ranger
[10.04.2016 | 12:51:02] Marcel.Gamer: das geht net beo georg er ist tot
[10.04.2016 | 12:51:09] Marcel.Gamer: bei
[10.04.2016 | 12:51:26] Georg.Dampfnudel: Geht leider nicht
[10.04.2016 | 12:51:39] Ron.Noname: oke.... Wie warn die TS3 Ip nochmall?
[10.04.2016 | 12:51:51] Georg.Dampfnudel: 79.133.59.107
[10.04.2016 | 12:52:26] Florian.Mrpacman: haben jetzt alle polizisten alle scheine ?
[10.04.2016 | 12:56:17] Florian.Mrpacman: seid wann hast du ein kanal ?
[10.04.2016 | 13:00:05] Prince.Boateng: wie ist nochmal die ts ip ?
[10.04.2016 | 13:00:14] Ron.Noname: 79.133.59.107
[10.04.2016 | 13:01:52] Sebastian.Layer: Hey Matze
[10.04.2016 | 13:02:21] Florian.Mrpacman: matze kannst du mal bitte gucken wo das motorrad von der fahrschule ist?
[10.04.2016 | 13:04:09] Sebastian.Layer: Matze
[10.04.2016 | 13:06:51] Georg.Dampfnudel: Matze kannst du mich dann mal wieder beleben bin schon seit heute früh um 9 Uhr Tod :D
[10.04.2016 | 13:07:55] Florian.Mrpacman: warum so lange
[10.04.2016 | 13:08:14] Georg.Dampfnudel: Weil das Script Spackt
[10.04.2016 | 13:08:26] Florian.Mrpacman: und matze ich vermisse immer noch das motorrad von der fahrschule
[10.04.2016 | 13:08:30] Florian.Mrpacman: alles kalr
[10.04.2016 | 13:08:34] Florian.Mrpacman: klar
[10.04.2016 | 13:09:39] Marcel.Gamer: komm zur fahrschule
[10.04.2016 | 13:09:55] Florian.Mrpacman: ich bin an der fahrschule
[10.04.2016 | 13:11:14] Ron.Noname: Lebt AF noch?
[10.04.2016 | 13:12:18] Marcel.Gamer: ja
[10.04.2016 | 13:28:53] Marcel.Gamer: san news ihr habt doch geld
[10.04.2016 | 13:30:35] Sebastian.Layer: Wie bitte ?
[10.04.2016 | 13:31:41] Sebastian.Layer: Wurde es drauf gepackt ?
[10.04.2016 | 13:33:11] Ron.Noname: Moinsen :D
[10.04.2016 | 13:34:05] Matze.Gamingtv: An die News, Ihr kommt in eure Fraktions Kasse mit ( San_News )
[10.04.2016 | 13:34:23] Sebastian.Layer: Alles Klar Dank
[10.04.2016 | 13:35:49] Georg.Dampfnudel: Ron
[10.04.2016 | 13:35:55] Ron.Noname: ja?
[10.04.2016 | 13:36:03] Georg.Dampfnudel: Wo ist dein Polizei Motorrad ?
[10.04.2016 | 13:36:23] Ron.Noname: ich habe zu garkeinem Fahrzeug mehr schlüssel...
[10.04.2016 | 13:37:09] Georg.Dampfnudel: Hab dir 2 gegeben
[10.04.2016 | 13:37:13] Dennis.Wagner: sebastian
[10.04.2016 | 13:37:23] Ron.Noname: mom
[10.04.2016 | 13:37:39] Matze.Gamingtv: News bitte am Tor kommen
[10.04.2016 | 13:38:07] Ron.Noname: bin in deinem Chennel
[10.04.2016 | 13:39:16] Matze.Gamingtv: Sebastian
[10.04.2016 | 13:39:58] Matze.Gamingtv: In deiner Base steht ein News Van. Der muss in das Unternehmen gemacht werden.
[10.04.2016 | 13:45:27] Georg.Dampfnudel: Bräuchte AutoFix am Police HQ mit Abschleppwagen
[10.04.2016 | 13:57:16] Marcel.Gamer: wer wollte in slamvan ?
[10.04.2016 | 14:13:31] Marcel.Gamer: maxi gebe mir mal die schlüssel für die ambulancen
[10.04.2016 | 14:17:32] Jay.Mcmillen: just do it :D
[10.04.2016 | 14:41:36] Ron.Noname: Hi
[10.04.2016 | 14:41:51] Florian.Mrpacman: hat jetzt jeder denn normalen führerschein
[10.04.2016 | 14:44:21] Florian.Mrpacman: heer noname ?
[10.04.2016 | 14:45:38] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:38] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:38] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:38] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:38] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:38] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:39] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:39] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:39] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:39] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:39] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:39] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:40] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:40] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:40] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:40] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:40] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:40] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:40] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:41] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:41] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:41] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:41] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:41] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:41] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
[10.04.2016 | 14:45:41] Ron.Noname: Hallo Ich möchte sie Bitten von diesem Server zu Gehen! da dieser Server Schlecht ist!!!
